8033	SALUD FEMENINA	Cultivo bactereologico cervicovaginal	$803	Baño diario Normal, No tener relaciones sexuales 2 días antes de la toma de muestra,No aplicarse medicamento vía vaginal, De preferencia tomarse la muestra 5 días después de haber terminado el periodo de menstruación.	3 dias habiles
10759	SALUD FEMENINA	Citología cervicovaginal (Papanicolaou)	$604	Baño diario Normal, No tener relaciones sexuales 2 días antes de la toma de muestra,No aplicarse medicamento vía vaginal, De preferencia tomarse la muestra 5 días después de haber terminado el periodo de menstruación.	1 a 6 dias habiles
10345	ANALISIS COPROLOGICOS	Coproparasitoscópico 1 muestra	$412	Colectar una muestra de materia fecal fresca, de cualquier hora del día, obtenida espontáneamente.1 gr de Materia Fecal (Tamaño de 1 frijol). Las muestras deben ser entregada al laboratorio el mismo día de recolección	1 dia
8177	ANALISIS COPROLOGICOS	Coprológico funcional	$463	Colectar una muestra de materia fecal fresca, de cualquier hora del día, obtenida espontáneamente.1 gr de Materia Fecal (Tamaño de 1 frijol). Las muestras deben ser entregada al laboratorio el mismo día de recolección	1 dia
8046	ANALISIS COPROLOGICOS	Coprocultivo	$641	Recipiente estéril de boca ancha con tapa.Recolecte una muestra pequeña de materia fecal, evitando contaminarla con agua, orina o papel del baño.	3 dias habiles
111012	ANALISIS COPROLOGICOS	Sangre oculta en heces	$515	Colectar una muestra de materia fecal fresca, de cualquier hora del día, obtenida espontáneamente.1 gr de Materia Fecal (Tamaño de 1 frijol). Las muestras deben ser entregada al laboratorio el mismo día de recolección	Mismo dia de la toma
2000	MAS SOLICITADOS	Examen General Orina (EGO)	$120	Recolectar muestra de orina.	Mismo dia de la toma
6025	MAS SOLICITADOS	Biometria Hematica	$174	Ayuno de 8 horas, maximo 12 horas.	Mismo dia de la toma
11268	MAS SOLICITADOS	Quimica sanguinea 12 elementos	$368	Ayuno de 8 horas, maximo 12 horas.	2 dias
11277	MAS SOLICITADOS	Quimica sanguinea 16 elementos	$440	Ayuno de 8 horas, maximo 12 horas.	2 dias
10909	MAS SOLICITADOS	Quimica sanguinea 24 elementos	$497	Ayuno de 8 horas, maximo 12 horas.	2 dias
7188	MAS SOLICITADOS	Quimica sanguinea 30 elementos	$662	Ayuno de 8 horas, maximo 12 horas.	2 dias
2429	MAS SOLICITADOS	Quimica sanguinea 37 elementos	$842	Ayuno de 8 horas, maximo 12 horas.	2 dias
2371	MAS SOLICITADOS	Proteína C Reactiva	$184	No requiere preparaciones.	1 dia
5153	SALUD MASCULINA	Antígeno Prostático Específico Total	$343	Ayuno de 12 a 4 hrs.3 días sin haber eyaculado o tenido relaciones sexuales.7 días sin que se haya realizado tacto rectal y ultrasonido transrectal	1 dia
55012	SALUD MASCULINA	Antígeno Prostático Específico Libre	$308	Ayuno de 12 a 4 hrs.3 días sin haber eyaculado o tenido relaciones sexuales.7 días sin que se haya realizado tacto rectal y ultrasonido transrectal	1 dia
3565	MAS SOLICITADOS	Creatinina en Suero	$106	Ayuno de 8 horas, maximo 12 horas.	4 a 5 dias habiles
7900	MAS SOLICITADOS	Grupo Sanguíneo y Factor RH	$264	Ayuno de 8 horas	Mismo dia de la toma
4036	MAS SOLICITADOS	Hemoglobina Glicosilada (HbA1c)	$225	Ayuno de 8 horas	0 a 2
10169	EMBARAZO	Prueba de embarazo- HCG Fraccion Beta	$159	Ayuno de 12 a 4 hrs.	Mismo dia de la toma
4472	MAS SOLICITADOS	Tiempo de Protrombina (TP)	$246	No requiere preparaciones.	1 dia
6730	MAS SOLICITADOS	Tiempo de Tromboplastina Parcial (TTPA)	$264	No requiere preparaciones.	1 dia
502	MAS SOLICITADOS	Tiempo de Trombina	$430	No requiere preparaciones.	1 dia
5453	MAS SOLICITADOS	TSH (Hormona Estimulante de la Tiroides)	$166	Ayuno de 8 horas, maximo 12 horas.	1 dia
6652	MAS SOLICITADOS	Velocidad de Sedimentación Globular (VSG)	$209	No requiere preparaciones.	Mismo dia de la toma
17306	MAS SOLICITADOS	25 Hidroxi Vitamina D	$412	Ayuno de 8 horas	1 a 2 dias habiles
5146	MAS SOLICITADOS	Prolactina	$166	Ayuno de 8 horas, maximo 12 horas.	1 dia
7254	FERTILIDAD 	Hormona Antimulleriana	$1,723	Ayuno de 8 horas, maximo 12 horas.	3 dias habiles
11256	MAS SOLICITADOS	Glucosa	$106	Ayuno de 8 horas, maximo 12 horas.	2 dias
4525	MAS SOLICITADOS	Insulina	$166	Ayuno de 8 horas, maximo 12 horas.	1 dia
11432	MAS SOLICITADOS	Cortisol Total	$965	Ayuno de 8 horas, maximo 12 horas.	4 a 10 dias habiles
4525	MAS SOLICITADOS	Insulina	$166	Ayuno de 8 horas, maximo 12 horas.	1 dia
5403	MAS SOLICITADOS	Testosterona Total en Suero	$1,318	Ayuno de 8 horas, maximo 12 horas.	5 a 6 dias habiles
18944	MAS SOLICITADOS	Testosterona Libre	$1,424	Ayuno de 8 horas, maximo 12 horas.	4 a 9 dias habiles
5144	SALUD FEMENINA	Progesterona	$166	Ayuno de 8 horas, maximo 12 horas.	1 dia
3670	SALUD FEMENINA	Estradiol	$187	Ayuno de 8 horas, maximo 12 horas.	1 dia
10021	MAS SOLICITADOS	Androstenediona	$1,029	Ayuno de 8 horas, maximo 12 horas.	3 a 6 dias habiles
4001	MAS SOLICITADOS	FSH (Hormona Foliculo Estimulante)	$166	Ayuno de 8 horas, maximo 12 horas.	1 dia
5550	MAS SOLICITADOS	Acido Urico	$106	Ayuno de 8 horas, maximo 12 horas.	Mismo dia de la toma
